id,source,target,draft_prediction,refined_prediction
13,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Research for clinical characteristics and plasma dopamine concentrations in schizophrenic patients,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Study on clinical characteristics and plasma dopamin level in schizophrenia patients
14,"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",The purpose of this study was to evaluate the effects of a mixture extract of C chrysantha and G pentaphyllum on weight loss and lowering lipid blood levels in obese Swiss mice.,"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",The study was conducted to evaluate the weight loss and hypolipidemic effects of a mixture of extracts from Hibiscus sabdariffa L Malvaceae and Phyllanthus urinaria L Euphorbiaceae on obese mice.
15,Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Swiss mice were randomly allocated into 5 groups with 8 animals in each group.,Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Swiss white mice were randomly divided into 5 groups with 8 mice in eachgroup.
16,Lô 1: chuột không gây béo phì.,Group 1: non-obese mice.,Lô 1: chuột không gây béo phì.,Group 1: non-obese mice.
17,"Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.","With the remaining 4 groups, the mice were induced to become obese for 8 weeks.","Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.","With the remaining 4 groups, the mice were induced obesity within 8 weeks."
18,"Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g / kg / ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 2 4g / kg / ngày và lô 5 chuột được uống atorvastatin liều 15 mg / kg / ngày.","mice were fed with distilled water (group 2) mixture extract at a dose of 12g / kg / day (group 3), 24g / kg / day (group 4) and atorvastatin at a dose of 15mg / kg / day (group 5).","Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g/kg/ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 24 g/kg/ngày và lô 5 chuột được uống atorvastatin liều 15 mg/kg/ngày.","After that, with group 2 mice were given distilled water, group 3 mice were given extract mixture at dose of 12 g/kg/day, group 4 mice were given extract mixture at dose of 24 g/kg/day and group 5 mice were given atorvastatin at dose of 15 mg/kg/day."
19,Thời gian uống thuốc thử là 14 ngày.,The feeding time period was 14 days.,Thời gian uống thuốc thử là 14 ngày.,The duration of the trial was 14 days.
20,"Trọng lượng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.","Mice in each group was assessed for weight weekly and the levels of Total Cholesterol (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglyceride (TC) was recorded at initial time (after obesity was induced for 8 weeks) and 1 hour after taking the extracted mixtures on the last day.","Cân nặng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.","The weight of mice in eachgroup was assessed weekly and the levels of total cholesterol (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglycerides (TC) were measured at the beginning of the experiment and after 1 hour of drug administration."
21,"Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin liều 15 mg / kg / ngày (lô 3,4,5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0,05) và khác biệt không có ý nghĩa thống kê giữa các lô 3,4,5 (p > 0,05).","The results showed that the mixture extract of C chrysantha and G pentaphyllum at doses of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (group 3, 4, 5) induced weight loss and decreased TC, CT, LDL-C levels compared with group 2 (p < 0.05) and the difference was not statistically significant between groups 3, 4, 5 (p > 0.05).","Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g/kg/ngày và 24 g/kg/ngày, atorvastatin liều 15 mg/kg/ngày (lô 3, 4, 5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0.05) và khác biệt không có ý nghĩa thống kê giữa các lô 3, 4, 5 (p > 0.05).","The results showed that the mixture of extracts from Hibiscus sabdariffa and Phyllanthus urinaria at the dose of 12 g/kg/day and 24 g/kg/day, atorvastatin at the dose of 15 mg/kg/day (group 3, 4, 5) significantly reduced the weight of mice and the values of CT, LDL-C and TC compared with group 2 (p < 0.05) and there was no significant difference between groups 3, 4, 5 (p > 0.05)."
22,Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường tuýp 2 mới được chẩn đoán,"Research characteristics of clinical, paraclinical peripheral nerve damage in newly diagnosed type 2 diabetes patients",Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường týp 2 mới được chẩn đoán,"""Clinical and electrophysiological characteristics of peripheral nerve damage in newly diagnosed type 2 diabetes patients"""
23,"Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","A cross-sectional descriptive study was implemented to assess fluor contaminated teeth among children aged 12 years of Thai ethnic group in Con Cuong district, Nghe An province.","Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","A cross-sectional descriptive study was conducted to assess dental fluorosis in 12-year-old Thai children in Con Cuong district, Nghe An province."
24,Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,The study was completed in May 2015 with 476 children aged 12 years at 9 junior high schools. The study was conducted according to the survey and classification method of the World Health Organization (WHO) in 2013 using the Dean's fluorosis index.
25,"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%.",Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13.2%.,Research results: The proportion of 12-year-old children with fluorosis if considering the level of suspicion is 13.2%.
26,"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.",The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7.1%.,The proportion of 12-year-old children with fluorosis if not considering the degree of suspicion is 7.1%.
27,"Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.","Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.","Most of the cases were mild fluorosis, onlyonecase was moderate fluorosis."
28,"Chỉ số răng nhiễm fluor trong cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0,13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng.",The Dean's index of community fluor contaminated teeth in 12-year-old children was 0.13. This was a community without fluor contaminated teeth according to the 2013 classification of the World Health Organization.,Chỉ số răng nhiễm fluor cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0.13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng.,"The index of dental fluorosis in the community according to the Dean index in 12-year-old children was 0.13 according to the classification of the World Health Organization in 2013, which is a community without dental fluorosis."
29,Đặc điểm khô mắt trên bệnh nhân mắc hội chứng Sjögren nguyên phát,Characteristics of dry eye in patients with primary Sjögren syndrome,Đặc điểm khô mắt trên bệnh nhân mắc hội chứng Sjögren nguyên phát,"""Characteristics of dryeyes in patients with primary Sjögren syndrome"""
30,Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.,To investigate the reasonableness of using proton pump inhibitors (PPI) at 120 Military Hospital in Tien Giang province.,Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.,"""Survey on the rational use of proton pump inhibitors (PPIs) at Tien Giang Military Hospital 120."""
31,Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.,Unreasonable prescriptions in PPI used mainly gastritis.,Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.,The prescription was not reasonable in the use of PPIs mainly due to gastritis.
32,Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc khám bệnh ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/7/2020 đến ngày 30/7/2020 tại các phòng khám thuộc khoa Khám bệnh – Bệnh viện Quân y 120.,"Subjects and methods: Cross-sectional descriptive study on 4532 outpatient prescriptions of patients who were prescribed drugs by doctors from July 1st, 2020 to July 30th, 2020 at clinics of the examination department - Military Hospital 120.",Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc khám bệnh ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/7/2020 đến ngày 30/7/2020 tại các phòng khám thuộc khoa Khám bệnh-Bệnh viện Quân y 120.,"Subject and method: A cross-sectional descriptive study on 4532 outpatient prescriptions of patients prescribed by doctors from July 1st, 2020 to July 30th, 2020 at clinics under the Department of Outpatient Examination-120 Military Hospital."
33,"Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12,13%.",Results: Prescribing unsafe proton pump inhibitors accounted for 12.13%.,Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12.13%.,Results: The rate of inappropriate proton pump inhibitors was 12.13%.
34,"Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0,79%).",Percentage of prescriptions without instructions for use of proton pump inhibitors (0.79%).,Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0.79%).,The proportion of prescriptions without guidance on the duration of use of proton pump inhibitors (0.79%).
35,"Tỷ lệ đơn thuốc có tương tác thuốc là 52,14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48,3%).","The proportion of prescription drugs with drug interactions was 52.14%, clopidogrel was the most interactive drug commonly used with PPIs (48.3%).","Tỷ lệ đơn thuốc có tương tác thuốc là 52.14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48.3%).","The rate of prescriptions with drug interactions was 52.14%, clopidogrel was the drug with the most common interactions used with PPIs (48.3%)."
36,"Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9,76%.",The proportion of proton pump inhibitors indicated unreasonable was 9.76%.,Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9.76%.,The proportion of patients with inappropriate proton pump inhibitors was 9.76%.
37,"Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý.",The proportion of prescriptions with proton pump inhibitors for gastritis treatment accounted for 66.14% of the total number of prescriptions with proton pump inhibitors that were not reasonable.,Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66.14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý.,The proportion of prescriptions with indications for proton pump inhibitors to treat gastritis accounted for 66.14% compared to the total prescriptions with inappropriate proton pump inhibitors.
38,"Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp.",Conclusion: The proportion of proton pump inhibitors was not safe and reasonable and the proportion of prescription drugs with no instructions on how long to use proton pump inhibitors were low.,"Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp.","Conclusion: The rate of proton pump inhibitors is not safe and reasonable, the prescription does not have guidance on the time to use proton pump inhibitors accounts for a lowrate."
39,"Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất.","The proportion of prescription interacting drugs accounted for a high proportion, clopidogrel was the most interactive drug commonly used with PPIs.","Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất.","The proportion of prescriptions with interactions accounted for a highrate, clopidogrel was the drug with the most common interaction used with PPIs."
40,"Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại Khoa Hồi sức tích cực – Chống độc, Bệnh viện Nguyễn Tri Phương","Evaluation of compliance with vancomycin therapy before and after the participation of clinical pharmacists at the department of intensive care medicine - anti toxicology, Nguyen Tri Phuong hospital","Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại khoa Hồi sức tích cực-Chống độc, Bệnh viện Nguyễn Tri Phương","""Assessment of adherence to vancomycin therapeutic monitoring before and after the participation of clinical pharmacists at the Intensive Care Unit-Department of Toxicology, Nguyen Tri Phuong Hospital"""
41,Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.,Primary spontaneous pneumothorax is a common disease in young people with a recurrence rate.,Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.,Primary spontaneous pneumothorax is a disease that usually occurs in young people with a certain recurrence rate.
42,"Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu.","Currently, indications of video-assisted thoracoscopic surgery (VATS) in the routine treatment of primary spontaneous pneumothorax and it is recommended to perform early in the first episode of pneumothorax.","Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu.","Currently, the indication for thoracoscopic surgery in the treatment of primary spontaneous pneumothorax has become routine and recommended to perform early with the firstcase of pneumothorax."
43,"Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0.","Methods: Cross-sectional study; The research results were recorded in the following variables: age, sex; operative indications; operative time... The data were recorded in the research medical record for each patient and processed by the SPSS 20.0.","Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0.","Method: Cross-sectional study; Research results recorded in variables: Age, gender; surgical indication; operating time... Data were recorded in the research medical record for each patient and processed by SPSS 20.0 program."
44,Kết quả: Từ tháng 01/2018 đến 04/2021 tại trung tâm Tim mạch và Lồng ngực – Bệnh viện hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát tiên phát.,"Results: From January 2018 to April 2021 at Cardiovascular and Thoracic Center - Viet Duc University Hospital, 38 patients underwent video-assisted thoracoscopic surgery for primary spontaneous pneumothorax.","Results: From January 2018 to April 2021 at the Cardiovascular and Thoracic Center of Viet Duc University Hospital, there were 38 patients who underwent thoracoscopic surgery for primary spontaneous pneumothorax.","Results: From January 2018 to April 2021 at the Cardiovascular and Thoracic Center of Viet Duc University Hospital, there were 38 patients who underwent thoracoscopic surgery for primary spontaneous pneumothorax."
45,"Chỉ định phẫu thuật bao gồm: Tràn khí tái phát 44,74%; Rò khí kéo dài 21,05%; Kén khí lớn 21,05%; Tràn khí - tràn máu màng phổi 10,52%; Tràn khí 2 bên cùng lúc 2,63%.","Indications of VATS: Recurrent preumothorax 44, 74%; Prolonged preumothorax 21, 05%; bullae 21, 05%; preumothorax-hemothorax 10, 52%; bilateral spontaneous pneumothorax 2, 63%.",Chỉ định phẫu thuật gồm: Tràn khí tái phát 44.74%; Rò khí kéo dài 21.05%; Kén khí lớn 21.05%; Tràn khí-máu màng phổi 10.52%; Tràn khí 2 bên cùng lúc 2.63%.,Indications for surgery included: recurrent pneumothorax 44.74%; persistent pneumothorax 21.05%; large bullae 21.05%; pneumothorax-hemothorax 10.52%; bilateral pneumothorax 2.63%.
46,Không có biến chứng cũng như tử vong.,There were no complications nor death.,Không có biến chứng cũng như tử vong.,There were no complications or deaths.
47,"Theo dõi từ 1 tháng đến 24 tháng, không có trường hợp nào tái phát.","Follow-up from 1 month to 24 months, no cases of recurrence.","The follow-up period ranged from 1 month to 24 months, there was nocase of recurrence.","The follow-up period ranged from 1 month to 24 months, there was nocase of recurrence."
48,Kết quả điều trị viêm loét giác mạc do microsporidia bằng phẫu thuật ghép giác mạc xuyên,Outcomes of therapeutic penetrating keratoplasty for treating microsporidial keratitis,Kết quả điều trị viêm loét giác mạc do microsporidia bằng phẫu thuật ghép giác mạc xuyên,Results of treatment of ulcerative keratitis caused by microsporidia by penetrating keratoplasty
